rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,period_err1,period_err2,impact_parameter,impact_parameter_err1,impact_parameter_err2,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,radius,radius_prad_err1,radiusprad_err2,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_eff_temp_err1,stellar_eff_temp_err2,stellar_surf_grav,stellar_surf_grav_err1,stellar_surf_grav_err2,stellar_metal,stellar_metal_err1,stellar_metal_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,stellar_mass,stellar_mass_err1,stellar_mass_err2,ra,dec,disposition_num
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,2.7e-08,-2.7e-08,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14200.0,4.2,-4.2,13.04,0.51,-0.51,0.0354,84.41,1339.0,544.1701,6468.04,4304.3,432.0,0.1522,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,286.80847,49.316399,1
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,4.3e-08,-4.3e-08,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6670.0,1.7,-1.7,16.1,0.81,-0.91,0.0376,87.21,2048.0,232.27,3862.1846,5945.9,611.0,0.0,6440.0,76.0,-89.0,4.019,0.033,-0.027,0.14,0.15,-0.15,1.952,0.099,-0.11,1.449,0.07,-0.091,292.24728,47.969521,1
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,1.98e-07,-1.98e-07,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9150.0,6.6,-6.6,14.59,1.11,-1.11,0.0473,85.2,1521.0,130.83832,1725.5824,1741.5,384.0,0.6662,6225.0,112.0,-137.0,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,281.28812,42.45108,1
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,6.54e-06,-6.54e-06,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,1.16,0.17,-0.12,0.0465,89.73,1206.0,4.8657312,41.28873,50.6,352.0,0.605,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,295.64871,48.49556,1
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.52144606,1.98e-06,-1.98e-06,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,18000.0,31.9,-31.9,150.51,39.8,-13.3,0.0978,83.13,753.0,92.901566,628.3708,622.1,96.0,0.154,5795.0,155.0,-172.0,4.554,0.033,-0.176,-0.2,0.25,-0.3,0.848,0.224,-0.075,0.938,0.098,-0.109,297.07993,47.597401,0
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,19.40393776,2.07e-05,-2.07e-05,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8920.0,53.3,-53.3,7.18,0.76,-0.68,0.123,84.93,523.0,49.468765,320.90817,214.7,71.0,0.806,5043.0,151.0,-151.0,4.591,0.072,-0.048,-0.54,0.35,-0.3,0.68,0.072,-0.065,0.657,0.085,-0.036,289.25821,47.635319,0
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,19.22138894,1.12e-06,-1.12e-06,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74300.0,21.9,-21.9,49.29,16.0,-5.0,0.1417,88.05,698.0,387.658,2174.4263,2317.0,55.0,0.0003,6117.0,182.0,-200.0,4.496,0.052,-0.208,-0.22,0.25,-0.35,0.947,0.308,-0.096,1.025,0.139,-0.139,295.81454,47.69035,0
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,16.46983774,1.36e-05,-1.36e-05,0.292,0.118,-0.101,9.4378,0.06,-0.06,10500.0,39.9,-39.9,7.94,0.89,-0.89,0.1147,88.81,595.0,43.1625,258.8247,303.4,66.0,0.0112,5152.0,168.0,-153.0,4.517,0.088,-0.072,-0.2,0.3,-0.3,0.786,0.088,-0.088,0.741,0.106,-0.057,297.15442,47.668701,0
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358173,1.04e-05,-1.04e-05,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1290.0,16.8,-16.8,2.47,0.2,-0.24,0.0759,88.93,649.0,9.616924,71.48005,87.2,144.0,0.0504,4856.0,131.0,-146.0,4.583,0.065,-0.035,-0.3,0.3,-0.3,0.696,0.056,-0.068,0.676,0.088,-0.047,288.13824,47.724449,1
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.02930329,5.51e-06,-5.51e-06,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1910.0,34.4,-34.4,2.85,0.26,-0.15,0.0585,89.5,678.0,6.876831,52.36939,65.4,215.0,1.0,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.21,0.2,-0.3,0.672,0.062,-0.036,0.761,0.033,-0.067,283.71088,47.86327,1
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,2.696370652,7.53e-06,-7.53e-06,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,398.0,9.5,-9.5,1.58,0.13,-0.16,0.0349,89.56,1066.0,5.508401,34.570904,48.2,501.0,0.0505,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.1,0.25,-0.3,0.819,0.067,-0.082,0.781,0.078,-0.056,283.76547,47.804298,0
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.349553819,8.83e-06,-8.83e-06,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,0.0563,89.62,919.0,6.0370364,48.504196,60.6,247.0,0.7722,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,1
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94105221,1.09e-05,-1.09e-05,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.0,13.9,-13.9,1.7,0.11,-0.16,0.046,88.88,1018.0,4.5118856,22.749151,28.9,322.0,0.923,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,1
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904807,6.79e-05,-6.79e-05,0.025,0.425,-0.025,3.596,0.198,-0.198,217.0,16.8,-16.8,1.3,0.09,-0.12,0.0743,89.92,800.0,4.434382,9.776852,14.1,141.0,0.7742,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,1
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67699193,7.01e-05,-7.01e-05,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.0,27.1,-27.1,2.95,0.12,-0.23,0.1408,87.91,530.0,5.911944,24.54073,34.3,62.0,0.6183,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.18,0.15,-0.15,0.828,0.032,-0.065,0.791,0.05,-0.029,290.46512,47.92918,1
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99677968,1.39e-05,-1.39e-05,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,935.0,39.7,-39.7,2.78,0.52,-0.23,0.0559,86.9,917.0,4.132564,24.283327,28.2,208.0,0.036,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.18,0.2,-0.3,0.847,0.161,-0.069,0.931,0.063,-0.094,297.80826,47.946671,1
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280963604,6.14e-06,-6.14e-06,0.424,0.112,-0.356,2.875,0.042,-0.042,751.0,14.1,-14.1,2.3,0.58,-0.19,0.0503,87.72,1012.0,6.7006826,52.913242,61.8,311.0,0.4302,5644.0,152.0,-169.0,4.564,0.032,-0.168,-0.14,0.3,-0.3,0.831,0.207,-0.069,0.928,0.094,-0.115,294.26581,49.314091,1
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.50635409,4.7e-07,-4.7e-07,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2210.0,18.3,-18.3,4.53,1.01,-0.44,0.025,79.38,1452.0,9.787732,130.6654,181.1,882.0,1.0,5714.0,155.0,-172.0,4.563,0.04,-0.16,-0.2,0.3,-0.3,0.831,0.186,-0.08,0.926,0.09,-0.11,295.66522,49.351009,0
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,670.645531,0.00124,-0.00124,0.701,0.004,-0.005,53.412,0.131,-0.131,18100.0,33.5,-33.5,14.14,2.13,-0.71,1.5155,89.53,196.0,70.64302,96.96236,642.7,3.0,0.0001,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.48,0.05,-0.15,0.983,0.148,-0.049,1.03,0.042,-0.058,296.69861,49.316479,0
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,61.2563628,0.000156,-0.000156,1.248,6.912,-0.067,7.633,0.105,-0.105,5120.0,70.6,-70.6,39.87,12.8,-5.48,0.3137,87.54,505.0,31.079844,73.10389,85.3,13.0,0.8513,6144.0,184.0,-220.0,4.402,0.072,-0.217,0.0,0.25,-0.3,1.091,0.35,-0.15,1.093,0.166,-0.135,283.72592,49.479519,0
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3775486,0.00016,-0.00016,0.468,0.461,-0.267,5.588,0.113,-0.113,724.0,23.4,-23.4,2.82,0.37,-0.34,0.2163,89.44,529.0,10.352898,31.946487,34.7,37.0,0.3889,5481.0,82.0,-74.0,4.369,0.121,-0.099,0.16,0.15,-0.15,1.036,0.138,-0.124,0.915,0.061,-0.042,291.72202,49.480869,1
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.19725502,9.35e-05,-9.35e-05,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2210.0,45.5,-45.5,3.86,0.15,-0.33,0.217,89.96,439.0,11.918161,37.877567,51.2,26.0,0.1551,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,1
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252962249,9.58e-06,-9.58e-06,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1040.0,24.5,-24.5,2.65,0.1,-0.23,0.0617,89.68,823.0,5.834264,35.96252,47.1,167.0,0.7587,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,1
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01308419,4.85e-05,-4.85e-05,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1120.0,39.4,-39.4,3.1,0.34,-0.31,0.1148,88.14,593.0,8.468995,31.066507,33.2,65.0,0.8555,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.1,0.25,-0.25,0.826,0.091,-0.082,0.785,0.085,-0.056,297.02563,48.478588,1
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62876672,5.8e-05,-5.8e-05,0.021,0.402,-0.021,4.7971,0.058,-0.058,1800.0,25.4,-25.4,3.36,0.76,-0.33,0.1889,89.98,506.0,14.0889,61.372303,80.0,34.0,0.6386,5586.0,152.0,-152.0,4.56,0.05,-0.15,-0.3,0.3,-0.3,0.798,0.181,-0.077,0.844,0.097,-0.078,285.71854,48.505859,1
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.7732862,0.000752,-0.000752,0.606,0.335,-0.4,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,0.3764,89.61,359.0,6.9461374,14.678595,19.1,11.0,0.7668,5586.0,152.0,-152.0,4.56,0.05,-0.15,-0.3,0.3,-0.3,0.798,0.181,-0.077,0.844,0.097,-0.078,285.71854,48.505859,1
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319244,5.15e-07,-5.15e-07,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9800.0,20.0,-20.0,12.21,1.96,-1.46,0.0565,86.15,1103.0,58.764744,670.4895,696.5,269.0,0.0517,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,292.16705,48.727589,1
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.701287801,5.63e-06,-5.63e-06,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.0,20.9,-20.9,6.54,1.64,-0.75,0.0365,62.69,1222.0,5.044661,39.745068,48.3,387.0,0.3375,5550.0,182.0,-182.0,4.468,0.091,-0.169,-0.04,0.3,-0.3,0.91,0.228,-0.105,0.889,0.102,-0.083,297.92365,48.777321,0
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876511,1.78e-05,-1.78e-05,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,0.0542,88.0,1133.0,4.435833,26.501581,29.5,238.0,0.1694,6075.0,189.0,-210.0,4.486,0.052,-0.208,-0.12,0.25,-0.35,0.969,0.3,-0.1,1.048,0.139,-0.139,298.45685,48.791592,1
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.65120951,5.86e-06,-5.86e-06,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11800.0,27.7,-27.7,12.42,3.92,-1.69,0.1433,88.27,730.0,85.46643,509.4985,513.4,59.0,0.5224,6074.0,168.0,-210.0,4.391,0.09,-0.21,-0.12,0.3,-0.3,1.063,0.336,-0.144,1.014,0.153,-0.126,291.0939,48.933842,0
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,3.05e-06,-3.05e-06,0.787,0.005,-0.565,2.9472,0.024,-0.024,602.0,4.0,-4.0,2.94,0.43,-0.38,0.0591,85.12,1093.0,46.475086,163.47614,166.7,244.0,0.2265,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,287.88733,46.276241,1
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43958662,7.56e-05,-7.56e-05,0.355,0.04,-0.355,10.5989,0.088,-0.088,2790.0,22.6,-22.6,5.5,1.57,-0.96,0.2288,89.31,516.0,27.788597,124.52492,141.1,33.0,0.4776,5468.0,180.0,-164.0,4.367,0.153,-0.187,0.22,0.2,-0.3,1.046,0.297,-0.183,0.93,0.092,-0.074,295.55505,49.017342,1
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35389523,1.52e-05,-1.52e-05,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1040.0,28.2,-28.2,2.52,0.54,-0.24,0.0768,89.95,790.0,5.6967807,36.34974,43.4,127.0,0.5047,5592.0,152.0,-152.0,4.582,0.036,-0.144,-0.28,0.3,-0.3,0.787,0.169,-0.073,0.862,0.089,-0.097,285.49924,49.277351,1
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125543472,3.13e-06,-3.13e-06,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1490.0,13.3,-13.3,4.43,1.44,-0.51,0.0529,85.95,1243.0,9.387555,94.70979,128.6,323.0,0.6043,6174.0,173.0,-239.0,4.417,0.056,-0.21,0.1,0.2,-0.3,1.103,0.358,-0.128,1.162,0.158,-0.158,291.93616,49.253979,1
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504904,1.65e-07,-1.65e-07,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16800.0,11.0,-11.0,12.21,1.62,-0.87,0.0383,89.37,1219.0,104.64681,1328.3038,1406.8,474.0,0.7998,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.14,0.15,-0.15,0.955,0.127,-0.068,0.941,0.053,-0.047,297.01547,49.225288,1
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93373447,6.15e-05,-6.15e-05,0.812,0.006,-0.009,14.561,0.104,-0.104,8500.0,44.3,-44.3,7.34,0.9,-0.6,0.1881,86.45,430.0,52.86124,193.4089,236.1,31.0,0.0299,5040.0,136.0,-151.0,4.628,0.03,-0.07,-0.24,0.3,-0.3,0.705,0.086,-0.058,0.782,0.063,-0.087,284.17233,49.360722,0
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689920099,8.98e-06,-8.98e-06,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,427.0,13.8,-13.8,1.89,0.54,-0.2,0.0469,89.19,1147.0,4.8750124,31.786789,35.6,360.0,0.4053,5880.0,157.0,-192.0,4.518,0.046,-0.196,-0.06,0.3,-0.3,0.917,0.262,-0.098,1.01,0.116,-0.139,291.62241,50.61824,1
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431238488,6.11e-06,-6.11e-06,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.0,15.2,-15.2,3.25,0.47,-0.25,0.0529,87.72,1104.0,6.815371,58.259056,71.1,302.0,0.52,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,295.81616,51.121738,1
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37936986,2.42e-05,-2.42e-05,0.911,0.009,-0.656,2.6255,0.073,-0.073,1020.0,29.7,-29.7,3.95,0.57,-0.31,0.0993,86.8,806.0,5.2506146,29.930164,37.9,109.0,0.2364,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,295.81616,51.121738,1
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39432897,5.72e-05,-5.72e-05,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.0,36.3,-36.3,3.07,0.41,-0.22,0.1635,89.28,489.0,8.917681,41.269753,48.2,51.0,0.2735,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.02,0.25,-0.3,0.763,0.103,-0.055,0.846,0.064,-0.088,289.39972,51.25032,1
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,1.59e-05,-1.59e-05,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,512.0,6.3,-6.3,2.64,0.4,-0.27,0.1096,87.07,785.0,18.771214,76.76887,88.4,101.0,0.6645,5854.0,105.0,-117.0,4.406,0.09,-0.11,-0.12,0.15,-0.15,1.012,0.154,-0.103,0.951,0.07,-0.063,300.86398,44.337551,1
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594387,1.41e-05,-1.41e-05,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.0,4.4,-4.4,1.79,0.26,-0.23,0.0711,84.02,997.0,6.1814723,39.793564,47.1,181.0,0.7788,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,287.88733,46.276241,1
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652004,7.02e-07,-7.02e-07,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24400.0,37.8,-37.8,15.03,4.73,-1.58,0.0742,89.72,967.0,115.64278,1044.7283,835.6,180.0,0.0786,6108.0,183.0,-201.0,4.469,0.07,-0.21,-0.3,0.3,-0.3,0.956,0.301,-0.1,0.981,0.128,-0.128,288.98682,49.733742,0
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38489988,5.22e-05,-5.22e-05,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1130.0,42.0,-42.0,2.0,0.09,-0.1,0.1084,90.0,433.0,6.419572,28.122635,28.9,65.0,0.7202,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.04,0.15,-0.15,0.615,0.027,-0.029,0.633,0.029,-0.035,286.73804,49.97575,1
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.8774163,1.49e-05,-1.49e-05,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1310.0,37.7,-37.7,2.16,0.09,-0.11,0.0665,89.92,553.0,10.036489,41.450657,38.7,135.0,0.5008,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.04,0.15,-0.15,0.615,0.027,-0.029,0.633,0.029,-0.035,286.73804,49.97575,1
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4454001,0.000181,-0.000181,0.028,0.437,-0.028,4.007,0.126,-0.126,1120.0,53.4,-53.4,1.99,0.09,-0.09,0.1847,89.98,332.0,5.9903665,19.803268,21.7,27.0,0.6219,4126.0,82.0,-82.0,4.661,0.022,-0.022,0.04,0.15,-0.15,0.615,0.027,-0.029,0.633,0.029,-0.035,286.73804,49.97575,1
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728732147,9.36e-07,-9.36e-07,0.558,0.13,-0.149,2.683,0.035,-0.035,5230.0,18.5,-18.5,6.02,1.22,-0.52,0.0455,86.7,1023.0,28.264866,360.1958,345.2,357.0,0.6769,5497.0,166.0,-149.0,4.577,0.034,-0.136,-0.1,0.3,-0.3,0.809,0.164,-0.07,0.907,0.074,-0.102,290.78574,50.054119,1
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.4195037,0.000114,-0.000114,0.911,5.567,-0.118,3.362,0.14,-0.14,6260.0,230.0,-230.0,7.51,1.12,-0.91,0.2062,89.05,467.0,22.598503,94.071846,36.9,36.0,0.8482,5446.0,179.0,-163.0,4.507,0.116,-0.105,-0.54,0.35,-0.3,0.781,0.116,-0.095,0.714,0.104,-0.037,294.31686,50.080231,1
