rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec,disposition_num
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.433769925,1.268,1.8868,1980.0,46.58,0.0256,58.99,1920.0,10.709492,67.78838,112.6,481.0,0.0003,6017.0,4.22,0.02,1.339,1.083,290.84369,37.728828,0
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,10.31872301,1.215,3.836,872.0,28.59,0.0944,78.15,876.0,9.854863,34.775192,38.2,130.0,0.9336,5927.0,4.409,0.07,1.06,1.05,291.84891,37.713501,0
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,2.539183147,0.238,2.4282,382.0,2.06,0.0355,88.28,1332.0,4.680462,34.037075,38.9,528.0,0.2119,5519.0,4.35,0.14,1.062,0.921,291.43997,37.905659,1
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,6.770300385,0.838,2.0844,1300.0,2.77,0.064,86.84,812.0,6.5691905,43.840405,50.8,200.0,0.9274,5653.0,4.656,-0.84,0.679,0.767,290.87051,38.273628,1
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.444291966,1.258,2.0792,11000.0,27.51,0.0101,39.97,1836.0,40.64358,277.1132,299.7,1466.0,0.8848,5255.0,4.678,-0.72,0.636,0.709,290.99689,38.28492,0
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,10.181584,0.92,3.5089,5740.0,7.73,0.0884,85.87,812.0,27.099031,173.09894,183.6,129.0,0.5397,5988.0,4.541,-0.52,0.836,0.885,291.28195,38.241669,1
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06036336,0.556,3.3203,1490.0,1.96,0.115,89.21,361.0,7.1802754,27.241827,35.2,59.0,0.7533,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,1
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.1842039,0.013,4.758,1390.0,1.83,0.2005,89.99,273.0,6.2605453,18.020908,26.0,25.0,0.8358,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,1
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9800854,0.95,5.351,104.0,1.31,0.1602,85.45,649.0,4.1784496,10.87813,17.1,56.0,0.9971,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,1
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82502168,0.708,2.186,521.0,1.2,0.0614,87.99,494.0,3.8379083,12.582854,15.9,154.0,0.251,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,1
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,3.895936525,0.524,2.3111,8540.0,7.34,0.046,87.56,1005.0,35.58241,375.5263,370.8,275.0,0.1164,5557.0,4.592,-0.3,0.774,0.866,294.65524,39.308361,1
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,22.36646466,0.4,5.228,987.0,2.32,0.1449,89.26,536.0,6.2514634,25.599396,32.1,48.0,0.4848,5395.0,4.615,-0.34,0.734,0.821,294.71063,39.52174,1
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.625522174,0.076,2.38963,7970.0,9.73,0.0265,89.22,1579.0,43.135384,712.5235,799.7,657.0,0.254,5539.0,4.322,0.16,1.106,0.935,293.87192,38.422939,1
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,19.62034692,0.458,2.0038,21700.0,13.6,0.1389,89.66,643.0,73.60154,353.8584,340.5,52.0,0.3063,5710.0,4.492,-0.1,0.905,0.928,293.81619,38.563568,1
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,7.544039,1.175,6.222,323.0,17.47,0.0731,58.94,838.0,4.5001316,12.162734,14.2,143.0,0.0016,5657.0,4.567,-0.18,0.824,0.919,293.94116,38.601101,0
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,9.02930689,0.024,3.1449,1020.0,2.57,0.0796,89.94,757.0,7.610865,47.37303,53.9,146.0,0.894,5349.0,4.526,-0.12,0.82,0.824,290.33362,38.72823,1
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,10.32803571,0.281,7.7915,16900.0,13.28,0.0888,88.54,843.0,76.945915,589.42316,636.8,114.0,0.529,5627.0,4.359,-0.1,1.024,0.874,287.69675,38.886452,0
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063047,0.379,8.9302,10600.0,8.9,0.5336,89.83,308.0,45.13809,115.57215,138.8,9.0,-1.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,1
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876,0.646,3.262,55.8,0.79,0.0648,86.69,1021.0,2.6950479,11.552998,14.4,207.0,0.6301,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,1
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32494216,0.224,6.6188,20300.0,12.19,0.2998,89.83,411.0,88.82677,323.38303,347.2,22.0,0.0005,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,1
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.540397253,1.225,2.1541,816.0,25.69,0.0264,51.56,1470.0,7.5703845,32.004185,38.8,842.0,0.6173,5663.0,4.53,0.21,0.915,1.034,286.92639,38.921631,0
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,2.99025443,0.014,5.414,589.0,1.7,0.0367,89.81,918.0,4.439786,35.481506,48.5,454.0,0.0,4667.0,4.578,0.1,0.731,0.737,287.74881,38.92955,0
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.594745374,0.514,1.9604,15000.0,11.3,0.0258,85.25,1539.0,62.03516,1015.921,1009.3,762.0,1.0,5934.0,4.491,-0.38,0.893,0.901,285.21381,39.027481,1
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,4.783002698,0.003,2.335,1010.0,2.5,0.0535,89.99,886.0,7.252221,57.638233,70.6,281.0,0.5746,5170.0,4.574,0.18,0.807,0.891,287.09399,39.060719,1
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,20.50588921,0.26,4.0595,2110.0,3.41,0.1326,89.62,518.0,12.827003,70.729904,78.5,69.0,0.0106,4905.0,4.544,-0.04,0.761,0.739,289.31543,39.153278,1
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,3.340218842,0.466,1.9104,1630.0,2.03,0.0348,87.85,656.0,8.777286,58.181076,71.6,398.0,0.4776,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,1
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,2.507089906,1.255,2.0067,1340.0,30.26,0.0365,67.79,1326.0,7.337525,50.679256,64.9,408.0,0.887,5926.0,4.506,-0.04,0.939,1.03,295.37805,40.493401,0
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,18.64932728,0.08,4.4056,894.0,3.12,0.139,89.86,701.0,7.871079,36.000114,46.1,71.0,0.0683,5775.0,4.405,0.16,1.053,1.026,290.46176,40.562462,1
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90144976,0.529,4.1654,141.0,1.7,0.0586,86.1,1262.0,5.743281,33.185894,50.6,193.0,0.0464,5847.0,4.191,0.26,1.402,1.113,297.02826,48.208611,1
