rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,2.470613377,0.818,1.74319,1.42E+04,13.04,0.0354,84.41,1339,544.1701,6468.04,4304.3,432,0.1522,5820,4.457,-0.06,0.964,0.971,286.80847,49.316399
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735417,0.224,3.88864,6.67E+03,16.1,0.0376,87.21,2048,232.27,3862.1846,5945.9,611,0,6440,4.019,0.14,1.952,1.449,292.24728,47.969521
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498429,0.631,3.19843,9.15E+03,14.59,0.0473,85.2,1521,130.83832,1725.5824,1741.5,384,0.6662,6225,4.169,-0.04,1.451,1.132,281.28812,42.45108
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,0.051,2.6302,1.31E+02,1.16,0.0465,89.73,1206,4.8657312,41.28873,50.6,352,0.605,5833,4.407,-0.04,1.022,0.974,295.64871,48.49556
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,11.52144606,2.483,3.6399,1.80E+04,150.51,0.0978,83.13,753,92.901566,628.3708,622.1,96,0.154,5795,4.554,-0.2,0.848,0.938,297.07993,47.597401
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,19.40393776,0.804,12.2155,8.92E+03,7.18,0.123,84.93,523,49.468765,320.90817,214.7,71,0.806,5043,4.591,-0.54,0.68,0.657,289.25821,47.635319
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,19.22138894,1.065,4.79843,7.43E+04,49.29,0.1417,88.05,698,387.658,2174.4263,2317,55,0.0003,6117,4.496,-0.22,0.947,1.025,295.81454,47.69035
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,16.46983774,0.292,9.4378,1.05E+04,7.94,0.1147,88.81,595,43.1625,258.8247,303.4,66,0.0112,5152,4.517,-0.2,0.786,0.741,297.15442,47.668701
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.27358173,0.387,3.2875,1.29E+03,2.47,0.0759,88.93,649,9.616924,71.48005,87.2,144,0.0504,4856,4.583,-0.3,0.696,0.676,288.13824,47.724449
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.02930329,0.258,1.5821,1.91E+03,2.85,0.0585,89.5,678,6.876831,52.36939,65.4,215,1,4537,4.648,0.21,0.672,0.761,283.71088,47.86327
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,2.696370652,0.044,3.6129,3.98E+02,1.58,0.0349,89.56,1066,5.508401,34.570904,48.2,501,0.0505,4989,4.504,0.1,0.819,0.781,283.76547,47.804298
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.349553819,0.092,3.0278,8.31E+02,2.55,0.0563,89.62,919,6.0370364,48.504196,60.6,247,0.7722,5185,4.44,0.16,0.91,0.831,292.37613,47.880989
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.94105221,0.226,2.5984,3.63E+02,1.7,0.046,88.88,1018,4.5118856,22.749151,28.9,322,0.923,5185,4.44,0.16,0.91,0.831,292.37613,47.880989
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.10904807,0.025,3.596,2.17E+02,1.3,0.0743,89.92,800,4.434382,9.776852,14.1,141,0.7742,5185,4.44,0.16,0.91,0.831,292.37613,47.880989
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,386.6030528,0.9765,6.8057,2.49E+04,41.5,1.0719,89.95,297,,,994,,,5543,4.081,0.44,1.58,1.103,292.27374,37.671558
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.67699193,0.896,3.4555,8.57E+02,2.95,0.1408,87.91,530,5.911944,24.54073,34.3,62,0.6183,4954,4.5,0.18,0.828,0.791,290.46512,47.92918
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.99677968,0.71,2.1717,9.35E+02,2.78,0.0559,86.9,917,4.132564,24.283327,28.2,208,0.036,5339,4.552,0.18,0.847,0.931,297.80826,47.946671
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280963604,0.424,2.875,7.51E+02,2.3,0.0503,87.72,1012,6.7006826,52.913242,61.8,311,0.4302,5644,4.564,-0.14,0.831,0.928,294.26581,49.314091
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,1.50635409,0.86,1.5155,2.21E+03,4.53,0.025,79.38,1452,9.787732,130.6654,181.1,882,1,5714,4.563,-0.2,0.831,0.926,295.66522,49.351009
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,670.645531,0.701,53.412,1.81E+04,14.14,1.5155,89.53,196,70.64302,96.96236,642.7,3,0.0001,5520,4.466,0.48,0.983,1.03,296.69861,49.316479
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,61.2563628,1.248,7.633,5.12E+03,39.87,0.3137,87.54,505,31.079844,73.10389,85.3,13,0.8513,6144,4.402,0,1.091,1.093,283.72592,49.479519
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.3775486,0.468,5.588,7.24E+02,2.82,0.2163,89.44,529,10.352898,31.946487,34.7,37,0.3889,5481,4.369,0.16,1.036,0.915,291.72202,49.480869
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.19725502,0.045,4.6297,2.21E+03,3.86,0.217,89.96,439,11.918161,37.877567,51.2,26,0.1551,5031,4.485,0.16,0.848,0.801,286.99948,48.37579
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252962249,0.105,2.5819,1.04E+03,2.65,0.0617,89.68,823,5.834264,35.96252,47.1,167,0.7587,5031,4.485,0.16,0.848,0.801,286.99948,48.37579
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.01308419,0.799,3.2554,1.12E+03,3.1,0.1148,88.14,593,8.468995,31.066507,33.2,65,0.8555,5015,4.499,0.1,0.826,0.785,297.02563,48.478588
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.62876672,0.021,4.7971,1.80E+03,3.36,0.1889,89.98,506,14.0889,61.372303,80,34,0.6386,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.7732862,0.606,6.473,6.52E+02,2.12,0.3764,89.61,359,6.9461374,14.678595,19.1,11,0.7668,5586,4.56,-0.3,0.798,0.844,285.71854,48.505859
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319244,0.831,2.22739,9.80E+03,12.21,0.0565,86.15,1103,58.764744,670.4895,696.5,269,0.0517,5712,4.359,0.1,1.082,0.976,292.16705,48.727589
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.701287801,1.016,3.3827,8.60E+02,6.54,0.0365,62.69,1222,5.044661,39.745068,48.3,387,0.3375,5550,4.468,-0.04,0.91,0.889,297.92365,48.777321
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.49876511,0.312,3.7362,4.60E+02,2.1,0.0542,88,1133,4.435833,26.501581,29.5,238,0.1694,6075,4.486,-0.12,0.969,1.048,298.45685,48.791592
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.65120951,0.723,5.2514,1.18E+04,12.42,0.1433,88.27,730,85.46643,509.4985,513.4,59,0.5224,6074,4.391,-0.12,1.063,1.014,291.0939,48.933842
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,0.787,2.9472,6.02E+02,2.94,0.0591,85.12,1093,46.475086,163.47614,166.7,244,0.2265,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.43958662,0.355,10.5989,2.79E+03,5.5,0.2288,89.31,516,27.788597,124.52492,141.1,33,0.4776,5468,4.367,0.22,1.046,0.93,295.55505,49.017342
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.35389523,0.023,2.2514,1.04E+03,2.52,0.0768,89.95,790,5.6967807,36.34974,43.4,127,0.5047,5592,4.582,-0.28,0.787,0.862,285.49924,49.277351
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125543472,0.597,3.1744,1.49E+03,4.43,0.0529,85.95,1243,9.387555,94.70979,128.6,323,0.6043,6174,4.417,0.1,1.103,1.162,291.93616,49.253979
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504904,0.105,2.50587,1.68E+04,12.21,0.0383,89.37,1219,104.64681,1328.3038,1406.8,474,0.7998,5532,4.452,0.14,0.955,0.941,297.01547,49.225288
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93373447,0.812,14.561,8.50E+03,7.34,0.1881,86.45,430,52.86124,193.4089,236.1,31,0.0299,5040,4.628,-0.24,0.705,0.782,284.17233,49.360722
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689920099,0.151,2.6557,4.27E+02,1.89,0.0469,89.19,1147,4.8750124,31.786789,35.6,360,0.4053,5880,4.518,-0.06,0.917,1.01,291.62241,50.61824
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431238488,0.405,3.15,1.01E+03,3.25,0.0529,87.72,1104,6.815371,58.259056,71.1,302,0.52,5714,4.428,0.16,1.015,1.007,295.81616,51.121738
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37936986,0.911,2.6255,1.02E+03,3.95,0.0993,86.8,806,5.2506146,29.930164,37.9,109,0.2364,5714,4.428,0.16,1.015,1.007,295.81616,51.121738
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39432897,0.602,3.573,1.51E+03,3.07,0.1635,89.28,489,8.917681,41.269753,48.2,51,0.2735,5129,4.595,0.02,0.763,0.846,289.39972,51.25032
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,0.866,3.3539,5.12E+02,2.64,0.1096,87.07,785,18.771214,76.76887,88.4,101,0.6645,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594387,0.898,3.0014,1.92E+02,1.79,0.0711,84.02,997,6.1814723,39.793564,47.1,181,0.7788,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652004,0.137,2.3078,2.44E+04,15.03,0.0742,89.72,967,115.64278,1044.7283,835.6,180,0.0786,6108,4.469,-0.3,0.956,0.981,288.98682,49.733742
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38489988,0.001,3.0249,1.13E+03,2,0.1084,90,433,6.419572,28.122635,28.9,65,0.7202,4126,4.661,0.04,0.615,0.633,286.73804,49.97575
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.8774163,0.041,2.0805,1.31E+03,2.16,0.0665,89.92,553,10.036489,41.450657,38.7,135,0.5008,4126,4.661,0.04,0.615,0.633,286.73804,49.97575
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4454001,0.028,4.007,1.12E+03,1.99,0.1847,89.98,332,5.9903665,19.803268,21.7,27,0.6219,4126,4.661,0.04,0.615,0.633,286.73804,49.97575
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728732147,0.558,2.683,5.23E+03,6.02,0.0455,86.7,1023,28.264866,360.1958,345.2,357,0.6769,5497,4.577,-0.1,0.809,0.907,290.78574,50.054119
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.4195037,0.911,3.362,6.26E+03,7.51,0.2062,89.05,467,22.598503,94.071846,36.9,36,0.8482,5446,4.507,-0.54,0.781,0.714,294.31686,50.080231
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243380573,0.915,1.1196,8.22E+02,1.99,0.028,82.88,822,4.251499,30.578562,38.9,472,0.5576,4149,4.698,-0.32,0.564,0.578,285.17621,50.149818
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,10.40599802,0.324,6.5036,1.45E+04,11.23,0.0855,88.57,833,97.352005,691.1691,745.2,117,0.8796,5746,4.393,-0.54,0.924,0.77,289.23553,50.241001
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.337437946,0.28,1.9982,9.71E+02,2.34,0.0325,88.19,1070,6.0310416,63.58795,82.4,578,0.6818,5005,4.595,0.14,0.765,0.85,293.83331,50.23035
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,7.2406612,1.198,0.558,5.56E+02,19.45,0.0692,87.62,734,3.2751372,9.1666,13.7,168,0.4049,5005,4.595,0.14,0.765,0.85,293.83331,50.23035
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.43591631,0.624,3.133,2.32E+01,0.55,0.0437,84.62,1272,3.8943021,7.4337807,8.7,357,0.0228,5779,4.339,-0.06,1.087,0.941,287.88733,46.276241
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.59822233,0.679,2.5237,2.80E+03,2.65,0.0798,88.62,396,11.461336,62.376225,71,115,0.6552,3688,4.79,0,0.473,0.503,296.22195,50.28722
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.575315881,0.39,4.3084,2.79E+03,5.31,0.067,88.03,1015,20.537346,210.22159,221.1,205,0.5611,5992,4.415,-0.32,0.989,0.927,290.09805,50.321609
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.275040844,0.547,7.5377,3.00E+03,4.86,0.0732,85.29,833,24.639503,234.95987,312.1,188,0.1322,5485,4.556,0.21,0.867,0.986,295.45529,50.49456
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.27153892,0.031,2.7594,1.22E+03,1.93,0.1171,89.97,393,6.437265,28.490973,37.1,67,0.8388,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06524317,0.628,1.369,1.05E+03,1.91,0.076,89.22,488,5.446764,21.658537,30.3,126,0.0088,4077,4.702,-0.24,0.56,0.576,293.97336,50.53191
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.3935651,0.883,3.8896,9.17E+02,2.66,0.0983,86.13,677,5.6057496,31.608551,35.8,107,0.8571,5557,4.603,-0.4,0.75,0.832,296.02133,50.56778
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84439721,0.852,6.802,6.15E+02,2.87,0.2395,88.27,531,16.554466,65.59482,83.7,29,0.9647,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,3.341913228,1.213,3.813,7.25E+02,21.55,0.0415,56.44,1032,5.0937037,32.72262,39,780,0,5295,4.551,-0.02,0.811,0.853,292.31595,38.27029
73,3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,1.626630225,1.26,2.1145,1.62E+03,32.43,0.026,58.03,1547,5.3061833,45.885685,103.6,664,0.8796,5735,4.41,-0.18,0.973,0.889,294.36819,38.31028
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711504086,0.023,3.0099,8.38E+02,3.12,0.0401,89.81,1420,6.3430967,48.726124,64.5,494,0.228,6214,4.442,0.07,1.076,1.169,291.65353,38.494659
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21203748,0.012,4.0491,9.50E+02,3.32,0.077,89.95,1025,6.1683164,40.04205,51.5,165,0.3431,6214,4.442,0.07,1.076,1.169,291.65353,38.494659
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,14.1798187,0.1601,2.505,4.60E+02,1.88,0.1137,89.95,711,,,11.2,,,5799,4.539,-0.1,0.878,0.975,291.0448,51.321671
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237911,0.022,2.7245,1.12E+03,2.59,0.0778,89.95,751,5.7419868,39.867977,47.6,159,0.9241,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4189369,0.094,5.039,9.31E+02,2.36,0.2884,89.94,390,6.335456,15.139797,20.1,22,0.6244,5354,4.587,-0.08,0.788,0.884,296.36652,51.319519
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.61190435,0.55,5.1497,6.11E+03,7.4,0.1058,88.17,753,31.536423,207.6196,277.2,104,0.0586,5795,4.508,-0.02,0.919,0.992,289.11221,51.737381
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.433769925,1.268,1.8868,1.98E+03,46.58,0.0256,58.99,1920,10.709492,67.78838,112.6,481,0.0003,6017,4.22,0.02,1.339,1.083,290.84369,37.728828
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,10.31872301,1.215,3.836,8.72E+02,28.59,0.0944,78.15,876,9.854863,34.775192,38.2,130,0.9336,5927,4.409,0.07,1.06,1.05,291.84891,37.713501
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,2.539183147,0.238,2.4282,3.82E+02,2.06,0.0355,88.28,1332,4.680462,34.037075,38.9,528,0.2119,5519,4.35,0.14,1.062,0.921,291.43997,37.905659
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,6.770300385,0.838,2.0844,1.30E+03,2.77,0.064,86.84,812,6.5691905,43.840405,50.8,200,0.9274,5653,4.656,-0.84,0.679,0.767,290.87051,38.273628
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.444291966,1.258,2.0792,1.10E+04,27.51,0.0101,39.97,1836,40.64358,277.1132,299.7,1466,0.8848,5255,4.678,-0.72,0.636,0.709,290.99689,38.28492
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,10.181584,0.92,3.5089,5.74E+03,7.73,0.0884,85.87,812,27.099031,173.09894,183.6,129,0.5397,5988,4.541,-0.52,0.836,0.885,291.28195,38.241669
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06036336,0.556,3.3203,1.49E+03,1.96,0.115,89.21,361,7.1802754,27.241827,35.2,59,0.7533,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.1842039,0.013,4.758,1.39E+03,1.83,0.2005,89.99,273,6.2605453,18.020908,26,25,0.8358,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9800854,0.95,5.351,1.04E+02,1.31,0.1602,85.45,649,4.1784496,10.87813,17.1,56,0.9971,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82502168,0.708,2.186,5.21E+02,1.2,0.0614,87.99,494,3.8379083,12.582854,15.9,154,0.251,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,3.895936525,0.524,2.3111,8.54E+03,7.34,0.046,87.56,1005,35.58241,375.5263,370.8,275,0.1164,5557,4.592,-0.3,0.774,0.866,294.65524,39.308361
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,22.36646466,0.4,5.228,9.87E+02,2.32,0.1449,89.26,536,6.2514634,25.599396,32.1,48,0.4848,5395,4.615,-0.34,0.734,0.821,294.71063,39.52174
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.625522174,0.076,2.38963,7.97E+03,9.73,0.0265,89.22,1579,43.135384,712.5235,799.7,657,0.254,5539,4.322,0.16,1.106,0.935,293.87192,38.422939
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,19.62034692,0.458,2.0038,2.17E+04,13.6,0.1389,89.66,643,73.60154,353.8584,340.5,52,0.3063,5710,4.492,-0.1,0.905,0.928,293.81619,38.563568
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,7.544039,1.175,6.222,3.23E+02,17.47,0.0731,58.94,838,4.5001316,12.162734,14.2,143,0.0016,5657,4.567,-0.18,0.824,0.919,293.94116,38.601101
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,9.02930689,0.024,3.1449,1.02E+03,2.57,0.0796,89.94,757,7.610865,47.37303,53.9,146,0.894,5349,4.526,-0.12,0.82,0.824,290.33362,38.72823
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,10.32803571,0.281,7.7915,1.69E+04,13.28,0.0888,88.54,843,76.945915,589.42316,636.8,114,0.529,5627,4.359,-0.1,1.024,0.874,287.69675,38.886452
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063047,0.379,8.9302,1.06E+04,8.9,0.5336,89.83,308,45.13809,115.57215,138.8,9,-1,5485,4.556,0.21,0.867,0.986,285.28363,38.947281
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876,0.646,3.262,5.58E+01,0.79,0.0648,86.69,1021,2.6950479,11.552998,14.4,207,0.6301,5854,4.406,-0.12,1.012,0.951,300.86398,44.337551
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32494216,0.224,6.6188,2.03E+04,12.19,0.2998,89.83,411,88.82677,323.38303,347.2,22,0.0005,5485,4.556,0.21,0.867,0.986,285.28363,38.947281
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,29.1598615,0.3619,4.803,4.88E+02,1.91,0.1847,89.38,524,,,11.6,,,5485,4.556,0.21,0.867,0.986,285.28363,38.947281
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.540397253,1.225,2.1541,8.16E+02,25.69,0.0264,51.56,1470,7.5703845,32.004185,38.8,842,0.6173,5663,4.53,0.21,0.915,1.034,286.92639,38.921631
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,2.99025443,0.014,5.414,5.89E+02,1.7,0.0367,89.81,918,4.439786,35.481506,48.5,454,0,4667,4.578,0.1,0.731,0.737,287.74881,38.92955
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.594745374,0.514,1.9604,1.50E+04,11.3,0.0258,85.25,1539,62.03516,1015.921,1009.3,762,1,5934,4.491,-0.38,0.893,0.901,285.21381,39.027481
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,4.783002698,0.003,2.335,1.01E+03,2.5,0.0535,89.99,886,7.252221,57.638233,70.6,281,0.5746,5170,4.574,0.18,0.807,0.891,287.09399,39.060719
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,20.50588921,0.26,4.0595,2.11E+03,3.41,0.1326,89.62,518,12.827003,70.729904,78.5,69,0.0106,4905,4.544,-0.04,0.761,0.739,289.31543,39.153278
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,3.340218842,0.466,1.9104,1.63E+03,2.03,0.0348,87.85,656,8.777286,58.181076,71.6,398,0.4776,3950,4.754,-0.46,0.493,0.502,286.07913,39.27832
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,2.507089906,1.255,2.0067,1.34E+03,30.26,0.0365,67.79,1326,7.337525,50.679256,64.9,408,0.887,5926,4.506,-0.04,0.939,1.03,295.37805,40.493401
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,18.64932728,0.08,4.4056,8.94E+02,3.12,0.139,89.86,701,7.871079,36.000114,46.1,71,0.0683,5775,4.405,0.16,1.053,1.026,290.46176,40.562462
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90144976,0.529,4.1654,1.41E+02,1.7,0.0586,86.1,1262,5.743281,33.185894,50.6,193,0.0464,5847,4.191,0.26,1.402,1.113,297.02826,48.208611
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,9.75192101,0.949,4.793,4.18E+02,2.76,0.0902,80.97,870,4.4869766,24.258644,28.5,132,0.3894,5775,4.405,0.16,1.053,1.026,290.46176,40.562462
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,38.5576546,0.911,5.794,9.93E+02,4.02,0.2255,87.91,550,7.5526104,32.640865,39.7,37,0.5868,5775,4.405,0.16,1.053,1.026,290.46176,40.562462
